timestamp,location-long,location-lat,sensor-type,individual-local-identifier
30:00.0,-75.468383,4.72938,gps,1(T5H-1363)
30:00.0,-75.46797,4.728528,gps,1(T5H-1363)
00:00.0,-75.46782,4.728535,gps,1(T5H-1363)
30:00.0,-75.467662,4.728732,gps,1(T5H-1363)
00:00.0,-75.467663,4.728655,gps,1(T5H-1363)
30:00.0,-75.467672,4.728563,gps,1(T5H-1363)
00:00.0,-75.467842,4.728452,gps,1(T5H-1363)
31:00.0,-75.467815,4.72863,gps,1(T5H-1363)
00:00.0,-75.467873,4.72854,gps,1(T5H-1363)
30:00.0,-75.467632,4.728543,gps,1(T5H-1363)
00:00.0,-75.467932,4.728677,gps,1(T5H-1363)
30:00.0,-75.46701,4.72834,gps,1(T5H-1363)
00:00.0,-75.46754,4.72782,gps,1(T5H-1363)
31:00.0,-75.467795,4.728463,gps,1(T5H-1363)
00:00.0,-75.467952,4.728442,gps,1(T5H-1363)
00:00.0,-75.467797,4.728313,gps,1(T5H-1363)
00:00.0,-75.467813,4.728482,gps,1(T5H-1363)
31:00.0,-75.467458,4.729395,gps,1(T5H-1363)
00:00.0,-75.46836,4.72987,gps,1(T5H-1363)
30:00.0,-75.468708,4.729668,gps,1(T5H-1363)
00:00.0,-75.46843,4.729377,gps,1(T5H-1363)
30:00.0,-75.468355,4.729535,gps,1(T5H-1363)
00:00.0,-75.468117,4.729907,gps,1(T5H-1363)
30:00.0,-75.468823,4.728597,gps,1(T5H-1363)
01:00.0,-75.466362,4.728078,gps,1(T5H-1363)
30:00.0,-75.468103,4.730077,gps,1(T5H-1363)
00:00.0,-75.467908,4.728773,gps,1(T5H-1363)
30:00.0,-75.467922,4.728793,gps,1(T5H-1363)
00:00.0,-75.467865,4.728797,gps,1(T5H-1363)
30:00.0,-75.467873,4.728712,gps,1(T5H-1363)
00:00.0,-75.467835,4.72872,gps,1(T5H-1363)
31:00.0,-75.467927,4.72873,gps,1(T5H-1363)
00:00.0,-75.467862,4.7287,gps,1(T5H-1363)
30:00.0,-75.467887,4.72874,gps,1(T5H-1363)
00:00.0,-75.46784,4.728683,gps,1(T5H-1363)
00:00.0,-75.467797,4.72912,gps,1(T5H-1363)
30:00.0,-75.467377,4.728967,gps,1(T5H-1363)
00:00.0,-75.467335,4.728415,gps,1(T5H-1363)
00:00.0,-75.46744,4.728715,gps,1(T5H-1363)
30:00.0,-75.466363,4.727922,gps,1(T5H-1363)
01:00.0,-75.467573,4.728383,gps,1(T5H-1363)
31:00.0,-75.46731,4.728323,gps,1(T5H-1363)
31:00.0,-75.468173,4.72739,gps,1(T5H-1363)
00:00.0,-75.467995,4.727237,gps,1(T5H-1363)
30:00.0,-75.467877,4.72718,gps,1(T5H-1363)
30:00.0,-75.467953,4.727175,gps,1(T5H-1363)
01:00.0,-75.467962,4.727268,gps,1(T5H-1363)
30:00.0,-75.46789,4.727283,gps,1(T5H-1363)
30:00.0,-75.468675,4.727232,gps,1(T5H-1363)
00:00.0,-75.468855,4.727213,gps,1(T5H-1363)
30:00.0,-75.470803,4.728788,gps,1(T5H-1363)
01:00.0,-75.468448,4.728568,gps,1(T5H-1363)
30:00.0,-75.467902,4.72705,gps,1(T5H-1363)
00:00.0,-75.467985,4.726775,gps,1(T5H-1363)
00:00.0,-75.46843,4.72735,gps,1(T5H-1363)
00:00.0,-75.467822,4.728803,gps,1(T5H-1363)
30:00.0,-75.468545,4.729788,gps,1(T5H-1363)
00:00.0,-75.468272,4.72982,gps,1(T5H-1363)
30:00.0,-75.468328,4.729737,gps,1(T5H-1363)
00:00.0,-75.468282,4.729653,gps,1(T5H-1363)
30:00.0,-75.467282,4.729165,gps,1(T5H-1363)
00:00.0,-75.467763,4.728755,gps,1(T5H-1363)
30:00.0,-75.467848,4.728795,gps,1(T5H-1363)
00:00.0,-75.467772,4.728823,gps,1(T5H-1363)
30:00.0,-75.468287,4.728367,gps,1(T5H-1363)
00:00.0,-75.467682,4.728635,gps,1(T5H-1363)
30:00.0,-75.467757,4.728783,gps,1(T5H-1363)
00:00.0,-75.467735,4.728678,gps,1(T5H-1363)
30:00.0,-75.467648,4.72872,gps,1(T5H-1363)
00:00.0,-75.467727,4.728747,gps,1(T5H-1363)
30:00.0,-75.467725,4.72873,gps,1(T5H-1363)
00:00.0,-75.467732,4.729085,gps,1(T5H-1363)
30:00.0,-75.46808,4.729715,gps,1(T5H-1363)
00:00.0,-75.467407,4.729717,gps,1(T5H-1363)
30:00.0,-75.467318,4.72931,gps,1(T5H-1363)
00:00.0,-75.467392,4.729578,gps,1(T5H-1363)
30:00.0,-75.467527,4.72961,gps,1(T5H-1363)
00:00.0,-75.467398,4.72984,gps,1(T5H-1363)
30:00.0,-75.467795,4.728617,gps,1(T5H-1363)
00:00.0,-75.467777,4.72866,gps,1(T5H-1363)
30:00.0,-75.46779,4.728725,gps,1(T5H-1363)
00:00.0,-75.467778,4.728702,gps,1(T5H-1363)
30:00.0,-75.467755,4.728777,gps,1(T5H-1363)
00:00.0,-75.467782,4.72877,gps,1(T5H-1363)
30:00.0,-75.46773,4.728755,gps,1(T5H-1363)
00:00.0,-75.468018,4.72816,gps,1(T5H-1363)
30:00.0,-75.468097,4.728147,gps,1(T5H-1363)
30:00.0,-75.467853,4.728625,gps,1(T5H-1363)
01:00.0,-75.467457,4.728743,gps,1(T5H-1363)
30:00.0,-75.467755,4.728598,gps,1(T5H-1363)
01:00.0,-75.467763,4.728605,gps,1(T5H-1363)
01:00.0,-75.467873,4.728728,gps,1(T5H-1363)
30:00.0,-75.467885,4.728722,gps,1(T5H-1363)
00:00.0,-75.467832,4.728707,gps,1(T5H-1363)
30:00.0,-75.467978,4.728735,gps,1(T5H-1363)
00:00.0,-75.4683,4.728785,gps,1(T5H-1363)
30:00.0,-75.468323,4.728473,gps,1(T5H-1363)
00:00.0,-75.468585,4.728438,gps,1(T5H-1363)
31:00.0,-75.468578,4.727743,gps,1(T5H-1363)
00:00.0,-75.46863,4.727623,gps,1(T5H-1363)
31:00.0,-75.46891,4.727582,gps,1(T5H-1363)
00:00.0,-75.46901,4.727548,gps,1(T5H-1363)
30:00.0,-75.469195,4.727165,gps,1(T5H-1363)
00:00.0,-75.46877,4.726793,gps,1(T5H-1363)
30:00.0,-75.468767,4.726558,gps,1(T5H-1363)
00:00.0,-75.468955,4.726498,gps,1(T5H-1363)
30:00.0,-75.46898,4.726548,gps,1(T5H-1363)
00:00.0,-75.468967,4.726548,gps,1(T5H-1363)
30:00.0,-75.468917,4.726522,gps,1(T5H-1363)
00:00.0,-75.469133,4.726738,gps,1(T5H-1363)
30:00.0,-75.46878,4.726568,gps,1(T5H-1363)
30:00.0,-75.46886,4.726582,gps,1(T5H-1363)
00:00.0,-75.46904,4.72707,gps,1(T5H-1363)
30:00.0,-75.468952,4.727625,gps,1(T5H-1363)
00:00.0,-75.468948,4.72752,gps,1(T5H-1363)
30:00.0,-75.468895,4.727353,gps,1(T5H-1363)
00:00.0,-75.468937,4.72723,gps,1(T5H-1363)
31:00.0,-75.468995,4.724842,gps,1(T5H-1363)
00:00.0,-75.471123,4.722203,gps,1(T5H-1363)
31:00.0,-75.468717,4.724297,gps,1(T5H-1363)
30:00.0,-75.46915,4.7243,gps,1(T5H-1363)
01:00.0,-75.468598,4.724065,gps,1(T5H-1363)
31:00.0,-75.469017,4.724907,gps,1(T5H-1363)
00:00.0,-75.46901,4.724755,gps,1(T5H-1363)
30:00.0,-75.46935,4.726843,gps,1(T5H-1363)
00:00.0,-75.469307,4.727567,gps,1(T5H-1363)
30:00.0,-75.46902,4.727667,gps,1(T5H-1363)
00:00.0,-75.468998,4.727552,gps,1(T5H-1363)
30:00.0,-75.469075,4.727113,gps,1(T5H-1363)
00:00.0,-75.469063,4.726793,gps,1(T5H-1363)
30:00.0,-75.469025,4.726885,gps,1(T5H-1363)
01:00.0,-75.468853,4.726992,gps,1(T5H-1363)
