timestamp,location-long,location-lat,sensor-type,individual-local-identifier
00:00.0,-115.34462,51.78559,gps,79
00:00.0,-115.34575,51.78423,gps,79
00:00.0,-115.46189,51.89723,gps,79
00:00.0,-115.44469,51.92836,gps,79
00:00.0,-115.41419,51.92744,gps,79
00:00.0,-115.41815,51.92569,gps,79
00:00.0,-115.35039,51.97158,gps,79
00:00.0,-115.3514,51.88421,gps,79
00:00.0,-115.35792,51.79742,gps,79
00:00.0,-115.34966,51.78627,gps,79
00:00.0,-115.38519,51.74578,gps,79
00:00.0,-115.39935,51.73851,gps,79
00:00.0,-115.37996,51.71189,gps,79
00:00.0,-115.37935,51.71177,gps,79
00:00.0,-115.37252,51.70862,gps,79
00:00.0,-115.37239,51.70861,gps,79
00:00.0,-115.3853,51.71479,gps,79
00:00.0,-115.38128,51.71256,gps,79
00:00.0,-115.38012,51.71077,gps,79
00:00.0,-115.32178,51.69577,gps,79
00:00.0,-115.30055,51.67727,gps,79
00:00.0,-115.30088,51.67777,gps,79
00:00.0,-115.30266,51.66258,gps,79
00:00.0,-115.30066,51.66383,gps,79
00:00.0,-115.27386,51.66399,gps,79
00:00.0,-115.27413,51.66373,gps,79
00:00.0,-115.27412,51.66353,gps,79
00:00.0,-115.27401,51.66376,gps,79
00:00.0,-115.27413,51.66363,gps,79
00:00.0,-115.27415,51.66369,gps,79
00:00.0,-115.66038,51.58706,gps,85
00:00.0,-115.65864,51.59015,gps,85
00:00.0,-115.65836,51.5901,gps,85
00:00.0,-115.65857,51.59033,gps,85
00:00.0,-115.67531,51.58397,gps,85
00:00.0,-115.67573,51.58436,gps,85
00:00.0,-115.66775,51.59792,gps,85
00:00.0,-115.66721,51.59745,gps,85
00:00.0,-115.67451,51.58427,gps,85
00:00.0,-115.67424,51.58365,gps,85
00:00.0,-115.67394,51.58337,gps,85
00:00.0,-115.67443,51.58291,gps,85
00:00.0,-115.66596,51.59089,gps,85
00:00.0,-115.6678,51.59799,gps,85
00:00.0,-115.67408,51.58432,gps,85
00:00.0,-115.6741,51.5833,gps,85
00:00.0,-115.67392,51.58396,gps,85
00:00.0,-115.67501,51.58417,gps,85
00:00.0,-115.6745,51.58313,gps,85
00:00.0,-115.67356,51.58533,gps,85
00:00.0,-115.67328,51.58521,gps,85
00:00.0,-115.67331,51.58528,gps,85
00:00.0,-115.67073,51.5853,gps,85
00:00.0,-115.66733,51.59314,gps,85
00:00.0,-115.659,51.59276,gps,85
00:00.0,-115.66886,51.60398,gps,85
00:00.0,-115.67476,51.58323,gps,85
00:00.0,-115.67323,51.58375,gps,85
00:00.0,-115.67361,51.5838,gps,85
00:00.0,-115.67326,51.5837,gps,85
00:00.0,-115.67325,51.58365,gps,85
00:00.0,-115.67325,51.5837,gps,85
00:00.0,-115.67401,51.58335,gps,85
00:00.0,-115.67328,51.5837,gps,85
00:00.0,-115.67316,51.58359,gps,85
00:00.0,-115.67325,51.5836,gps,85
00:00.0,-115.66875,51.59609,gps,85
00:00.0,-115.67486,51.58288,gps,85
00:00.0,-115.67425,51.58333,gps,85
00:00.0,-115.67322,51.58367,gps,85
00:00.0,-115.67327,51.58371,gps,85
00:00.0,-115.67328,51.58375,gps,85
00:00.0,-115.67436,51.5828,gps,85
00:00.0,-115.67406,51.5833,gps,85
00:00.0,-115.67427,51.58377,gps,85
00:00.0,-115.6742,51.58371,gps,85
00:00.0,-115.67389,51.58376,gps,85
00:00.0,-115.67408,51.58418,gps,85
00:00.0,-115.67089,51.58671,gps,85
00:00.0,-115.66722,51.59792,gps,85
00:00.0,-115.66699,51.59707,gps,85
00:00.0,-115.67434,51.58307,gps,85
00:00.0,-115.67437,51.58311,gps,85
00:00.0,-115.67437,51.58328,gps,85
00:00.0,-115.67374,51.58282,gps,85
00:00.0,-115.6742,51.58354,gps,85
00:00.0,-115.67331,51.58461,gps,85
00:00.0,-115.67387,51.5841,gps,85
00:00.0,-115.67364,51.58375,gps,85
00:00.0,-115.67389,51.58383,gps,85
00:00.0,-115.67386,51.58403,gps,85
00:00.0,-115.67028,51.59618,gps,85
00:00.0,-115.66608,51.59767,gps,85
00:00.0,-115.67149,51.58319,gps,85
00:00.0,-115.67412,51.58346,gps,85
00:00.0,-115.67449,51.58312,gps,85
00:00.0,-115.67483,51.58246,gps,85
00:00.0,-115.67464,51.58295,gps,85
00:00.0,-115.67405,51.58363,gps,85
00:00.0,-115.67436,51.58403,gps,85
00:00.0,-115.67464,51.58423,gps,85
00:00.0,-115.67413,51.58342,gps,85
00:00.0,-115.67439,51.58342,gps,85
00:00.0,-115.67153,51.59535,gps,85
00:00.0,-115.66599,51.59761,gps,85
00:00.0,-115.66601,51.59753,gps,85
00:00.0,-115.67395,51.58334,gps,85
00:00.0,-115.67484,51.58328,gps,85
00:00.0,-115.6742,51.5835,gps,85
00:00.0,-115.67412,51.58344,gps,85
00:00.0,-115.67423,51.58333,gps,85
00:00.0,-115.67403,51.58338,gps,85
00:00.0,-115.67401,51.58342,gps,85
00:00.0,-115.67394,51.5836,gps,85
00:00.0,-115.67399,51.58347,gps,85
00:00.0,-115.63748,51.58572,gps,85
00:00.0,-115.59397,51.56423,gps,85
00:00.0,-115.67418,51.58296,gps,85
00:00.0,-115.66768,51.58217,gps,85
00:00.0,-115.6748,51.58371,gps,85
00:00.0,-115.67388,51.5834,gps,85
00:00.0,-115.67223,51.58213,gps,85
00:00.0,-115.67549,51.58302,gps,85
00:00.0,-115.67388,51.58243,gps,85
00:00.0,-115.66756,51.58218,gps,85
00:00.0,-115.66772,51.58218,gps,85
00:00.0,-115.66771,51.58218,gps,85
00:00.0,-115.66771,51.58224,gps,85
00:00.0,-115.67451,51.58284,gps,85
00:00.0,-115.67416,51.58343,gps,85
00:00.0,-115.67382,51.58339,gps,85
00:00.0,-115.66472,51.59288,gps,85
00:00.0,-115.6645,51.59571,gps,85
00:00.0,-115.66606,51.59759,gps,85
00:00.0,-115.65782,51.5778,gps,85
00:00.0,-115.66642,51.58215,gps,85
00:00.0,-115.66873,51.58201,gps,85
00:00.0,-115.6687,51.58201,gps,85
00:00.0,-115.6686,51.58197,gps,85
00:00.0,-115.66696,51.58167,gps,85
00:00.0,-115.66938,51.58453,gps,85
00:00.0,-115.67032,51.58396,gps,85
00:00.0,-115.67053,51.58387,gps,85
00:00.0,-115.6706,51.58408,gps,85
00:00.0,-115.66728,51.58204,gps,85
00:00.0,-115.66764,51.58225,gps,85
00:00.0,-115.67013,51.59688,gps,85
00:00.0,-115.66779,51.58224,gps,85
00:00.0,-115.66775,51.58238,gps,85
00:00.0,-115.66779,51.58232,gps,85
00:00.0,-115.66802,51.58216,gps,85
00:00.0,-115.66751,51.58228,gps,85
00:00.0,-115.66765,51.5825,gps,85
00:00.0,-115.6672,51.5822,gps,85
00:00.0,-115.66731,51.582,gps,85
00:00.0,-115.66739,51.58227,gps,85
00:00.0,-115.65808,51.59002,gps,85
00:00.0,-115.66785,51.58216,gps,85
00:00.0,-115.66759,51.5822,gps,85
00:00.0,-115.66766,51.58215,gps,85
00:00.0,-115.66726,51.58202,gps,85
00:00.0,-115.66742,51.58275,gps,85
00:00.0,-115.66768,51.58206,gps,85
00:00.0,-115.69507,51.5844,gps,85
00:00.0,-115.69538,51.5847,gps,85
00:00.0,-115.68969,51.57651,gps,85
00:00.0,-115.661,51.58954,gps,85
00:00.0,-115.66591,51.59762,gps,85
00:00.0,-115.6601,51.59584,gps,85
00:00.0,-115.66789,51.58229,gps,85
00:00.0,-115.66784,51.58221,gps,85
00:00.0,-115.66783,51.58224,gps,85
00:00.0,-115.66352,51.58008,gps,85
00:00.0,-115.66323,51.57994,gps,85
00:00.0,-115.66293,51.57973,gps,85
00:00.0,-115.66334,51.5799,gps,85
00:00.0,-115.66315,51.57999,gps,85
00:00.0,-115.66781,51.58201,gps,85
00:00.0,-115.6668,51.58281,gps,85
00:00.0,-115.66731,51.58214,gps,85
00:00.0,-115.66731,51.58207,gps,85
00:00.0,-115.66736,51.58243,gps,85
00:00.0,-115.66687,51.58216,gps,85
00:00.0,-115.6657,51.58587,gps,85
00:00.0,-115.65888,51.59395,gps,85
00:00.0,-115.66607,51.59769,gps,85
00:00.0,-115.66572,51.58318,gps,85
00:00.0,-115.6672,51.58229,gps,85
00:00.0,-115.66731,51.58225,gps,85
00:00.0,-115.67412,51.58566,gps,85
00:00.0,-115.65509,51.59981,gps,85
00:00.0,-115.52051,51.63316,gps,85
